Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Fwd Header Len,Bwd Header Len,Pkt Len Mean,Pkt Len Std,Pkt Len Var
192.168.85.228-192.168.85.99-52915-53-6,192.168.85.228,52915,192.168.85.99,53,6,180107,5,6,33,49,31,0,6.6,13.66747965,48,0,8.166666667,19.51836742,455.284914,61.07480553,100,144,6.833333333,15.69500982,246.3333333
192.168.85.228-192.168.85.99-52916-53-6,192.168.85.228,52916,192.168.85.99,53,6,190381,5,6,33,120,31,0,6.6,13.66747965,119,0,20,48.50154637,803.6516249,57.77887499,100,144,12.75,34.60983833,1197.840909
192.168.85.228-192.168.85.99-52918-53-6,192.168.85.228,52918,192.168.85.99,53,6,321356,5,6,49,81,47,0,9.8,20.81345719,80,0,13.5,32.58066912,404.5357796,34.22995058,100,144,10.83333333,25.59415179,655.0606061
192.168.85.228-192.168.85.99-52917-53-6,192.168.85.228,52917,192.168.85.99,53,6,321943,4,6,49,77,47,0,12.25,23.18584338,76,0,12.83333333,30.94780552,391.3736283,31.06139907,80,144,11.45454545,25.58657318,654.6727273
192.168.85.228-192.168.85.99-52919-53-6,192.168.85.228,52919,192.168.85.99,53,6,321421,5,6,49,94,47,0,9.8,20.81345719,93,0,15.66666667,37.88755293,444.8993687,34.22302836,100,144,11.91666667,28.85530779,832.6287879
192.168.85.228-192.168.85.99-52914-53-6,192.168.85.228,52914,192.168.85.99,53,6,483010,5,6,33,61,31,0,6.6,13.66747965,60,0,10.16666667,24.41652446,194.612948,22.77385561,100,144,7.833333333,18.6588187,348.1515152
192.168.85.228-192.168.85.99-52955-53-6,192.168.85.228,52955,192.168.85.99,53,6,316257,5,6,41,112,39,0,8.2,17.23948955,111,0,18.66666667,45.23567913,483.7837581,34.78183882,100,144,12.75,32.88582176,1081.477273
192.168.85.228-192.168.85.99-52957-53-6,192.168.85.228,52957,192.168.85.99,53,6,384516,5,6,41,162,39,0,8.2,17.23948955,161,0,27,65.64754375,527.9364188,28.60739215,100,144,16.91666667,46.72250447,2182.992424
192.168.85.228-192.168.85.99-52956-53-6,192.168.85.228,52956,192.168.85.99,53,6,385280,5,6,41,100,39,0,8.2,17.23948955,99,0,16.66666667,40.33691444,365.967608,28.55066445,100,144,11.75,29.64985053,879.1136364
192.168.85.228-192.168.85.99-52973-53-6,192.168.85.228,52973,192.168.85.99,53,6,305749,5,6,38,106,36,0,7.6,15.89968553,105,0,17.66666667,42.78629064,470.9745576,35.97722315,100,144,12,31.0395642,963.4545455
