"Flow ID","Src IP","Src Port","Dst IP","Dst Port","Protocol","Flow Duration","Tot Fwd Pkts","Tot Bwd Pkts","TotLen Fwd Pkts","TotLen Bwd Pkts","Fwd Pkt Len Max","Fwd Pkt Len Min","Fwd Pkt Len Mean","Fwd Pkt Len Std","Bwd Pkt Len Max","Bwd Pkt Len Min","Bwd Pkt Len Mean","Bwd Pkt Len Std","Flow Byts/s","Flow Pkts/s","Fwd Header Len","Bwd Header Len","Pkt Len Mean","Pkt Len Std","Pkt Len Var","Label"
"172.31.69.28-18.216.200.189-80-64415-6","172.31.69.28","80","18.216.200.189","64415","6","665578","4","3","935","313","935","0","233.75","467.5","313","0","104.3333333","180.7106343","1875.061976","10.51717455","92","72","156","333.2750901","111072.2857","1"
"172.31.69.28-18.218.55.126-80-59053-6","18.218.55.126","59053","172.31.69.28","80","6","15256","1","1","0","0","0","0","0","0","0","0","0","0","0","131.0959622","20","20","0","0","0","1"
"172.31.69.25-18.219.193.20-80-52834-6","18.219.193.20","52834","172.31.69.25","80","6","37081","1","1","0","0","0","0","0","0","0","0","0","0","0","53.93597799","32","32","0","0","0","1"
"172.31.69.28-18.218.115.60-80-58156-6","18.218.115.60","58156","172.31.69.28","80","6","3474","1","1","0","0","0","0","0","0","0","0","0","0","0","575.7052389","20","20","0","0","0","1"
"172.31.69.25-18.219.193.20-80-35342-6","172.31.69.25","80","18.219.193.20","35342","6","4249768","4","4","935","350","935","0","233.75","467.5","350","0","87.5","175","302.369447","1.882455701","136","136","142.7777778","318.8368618","101656.9444","1"
"172.31.69.25-18.219.193.20-80-54382-6","18.219.193.20","54382","172.31.69.25","80","6","28934","1","1","0","0","0","0","0","0","0","0","0","0","0","69.12283127","32","32","0","0","0","1"
"172.31.69.25-18.219.193.20-80-40196-6","172.31.69.25","80","18.219.193.20","40196","6","4410550","4","4","935","335","935","0","233.75","467.5","335","0","83.75","167.5","287.9459478","1.813832742","136","136","141.1111111","317.6552551","100904.8611","1"
"172.31.69.28-18.216.200.189-80-55847-6","18.216.200.189","55847","172.31.69.28","80","6","1393","1","1","0","0","0","0","0","0","0","0","0","0","0","1435.750179","20","20","0","0","0","1"
"172.31.69.28-18.216.24.42-80-60055-6","172.31.69.28","80","18.216.24.42","60055","6","40239","4","3","935","284","935","0","233.75","467.5","284","0","94.66666667","163.9674764","30293.99339","173.9605855","92","72","152.375","331.4763243","109876.5536","1"
"172.31.69.25-18.219.193.20-80-39268-6","172.31.69.25","80","18.219.193.20","39268","6","4045903","3","6","935","372","935","0","311.6666667","539.8225017","372","0","62","151.8683641","323.0428411","2.22447251","104","200","130.7","305.8293097","93531.56667","1"
"172.31.69.28-18.216.24.42-80-59706-6","18.216.24.42","59706","172.31.69.28","80","6","1263","1","1","0","0","0","0","0","0","0","0","0","0","0","1583.531275","20","20","0","0","0","1"
"172.31.69.28-18.218.115.60-80-62014-6","172.31.69.28","80","18.218.115.60","62014","6","1251","4","3","935","287","935","0","233.75","467.5","287","0","95.66666667","165.6995273","976818.5452","5595.523581","92","72","152.75","331.6481569","109990.5","1"
"172.31.69.25-18.219.193.20-80-51178-6","18.219.193.20","51178","172.31.69.25","80","6","54888","2","1","0","0","0","0","0","0","0","0","0","0","0","54.65675557","64","32","0","0","0","1"
"172.31.69.25-18.219.193.20-80-45660-6","18.219.193.20","45660","172.31.69.25","80","6","477","1","1","0","0","0","0","0","0","0","0","0","0","0","4192.872117","32","32","0","0","0","1"
"172.31.69.25-18.219.193.20-80-52792-6","18.219.193.20","52792","172.31.69.25","80","6","49570","2","1","0","0","0","0","0","0","0","0","0","0","0","60.52047609","64","32","0","0","0","1"
"172.31.69.25-18.219.193.20-80-56458-6","18.219.193.20","56458","172.31.69.25","80","6","45031","1","1","0","0","0","0","0","0","0","0","0","0","0","44.41384824","32","32","0","0","0","1"
"172.31.69.25-18.219.193.20-80-39688-6","172.31.69.25","80","18.219.193.20","39688","6","4974640","4","6","935","1041","935","0","233.75","467.5","347","0","173.5","190.0597275","397.2146728","2.010195713","136","200","179.6363636","296.7306094","88049.05455","1"
"172.31.69.28-18.218.115.60-80-65405-6","18.218.115.60","65405","172.31.69.28","80","6","1663","1","1","0","0","0","0","0","0","0","0","0","0","0","1202.645821","20","20","0","0","0","1"
"172.31.69.25-18.219.193.20-80-60134-6","18.219.193.20","60134","172.31.69.25","80","6","89147","2","1","0","0","0","0","0","0","0","0","0","0","0","33.65228219","64","32","0","0","0","1"
